est1 est2 est3 est4 est5 est6 est7 est8 est9 est10 est11 est12 est13 est14 est15 est16 est17 est18 est19 est20 est21 est22 est23 est24 est25 est26 est27 est28 est29
23.60	7.20	2.00	7.40	7.40	0.30	62.00	40.40	34.20	6.80	20.20	15.80	8.70	7.00	9.40	10.60	32.10	5.50	2.40	7.00	26.90	11.40	0.00	0.00	60.00	41.20	19.80	16.80	8.60
44.20	50.20	20.00	26.00	25.20	0.10	74.00	24.40	27.20	13.60	0.00	17.60	0.00	11.40	0.00	1.20	1.00	16.00	0.00	0.80	0.00	12.60	12.60	16.10	20.90	13.20	78.80	80.40	8.40
20.40	0.00	9.00	2.00	3.70	0.50	7.20	0.00	4.60	0.00	20.40	0.00	8.60	0.00	3.50	29.20	1.00	14.20	10.60	13.80	0.00	8.00	0.00	19.30	0.00	3.60	0.50	5.60	0.00
14.60	0.00	34.60	34.40	0.20	38.00	20.20	21.20	18.40	4.20	30.00	1.60	39.80	5.20	50.70	2.40	11.60	0.50	0.00	8.40	0.00	0.00	79.90	21.30	47.40	57.80	1.50	15.60	32.10
0.00	0.00	0.00	1.60	0.30	40.00	4.40	0.00	0.00	0.00	0.00	0.00	9.80	3.60	0.00	1.20	2.00	0.00	0.00	20.40	25.30	0.00	0.00	0.00	0.00	0.00	21.60	10.60	0.00
15.80	25.40	30.80	16.00	19.40	15.00	13.20	59.60	60.80	50.20	30.40	91.20	49.20	48.00	0.00	94.80	76.00	70.00	76.80	11.20	25.40	8.20	14.00	38.20	109.60	74.20	27.60	77.20	33.40
0.00	21.20	22.40	27.60	11.80	0.50	0.00	7.40	5.20	0.00	0.00	0.00	12.20	2.40	37.20	5.40	6.10	0.90	1.20	18.80	12.00	12.40	1.10	0.00	0.00	0.00	44.80	26.60	13.50
54.20	45.80	0.00	25.00	17.40	24.00	0.00	3.60	3.30	20.80	78.20	0.00	1.00	10.20	0.00	15.40	5.30	7.80	3.80	14.40	50.10	0.00	24.60	45.10	39.40	3.40	27.80	11.40	6.20
70.60	14.40	26.20	35.00	3.50	38.00	25.40	86.60	78.60	42.60	46.40	5.40	20.40	6.00	18.40	1.80	15.00	4.60	12.60	34.60	20.50	82.40	56.80	26.20	75.40	88.60	19.20	91.60	52.40
10.80	11.80	72.20	3.40	6.80	0.30	17.40	0.00	0.00	35.20	0.00	0.00	13.20	5.00	0.00	0.00	4.50	0.00	3.40	22.40	6.90	0.00	0.00	0.00	0.00	0.00	14.80	32.40	2.30
14.20	21.40	25.00	8.00	32.20	0.00	6.20	3.40	0.00	54.40	0.00	0.00	46.20	0.00	0.00	0.00	0.00	0.00	0.00	5.20	70.50	0.00	1.40	0.00	0.40	0.00	0.00	35.80	32.10
20.60	0.00	5.40	4.00	60.40	15.00	3.40	54.20	34.20	60.80	133.20	17.20	46.80	100.40	21.30	119.20	14.10	50.20	0.60	0.00	44.20	25.20	5.20	0.00	0.00	9.40	2.10	23.40	0.00
15.80	31.20	39.00	21.00	4.30	15.00	49.20	10.20	19.60	75.60	90.60	58.40	39.20	0.00	35.80	5.40	34.10	8.20	4.00	0.00	7.20	60.40	14.40	3.10	0.10	0.80	24.00	87.20	40.20
24.20	35.80	50.00	52.00	56.20	0.40	0.00	78.40	60.40	16.40	0.00	4.60	6.80	25.40	8.10	5.00	2.40	2.00	4.60	0.00	3.60	34.20	18.20	35.20	39.50	36.40	33.00	22.00	19.70
